"자치구","안심 주소","CCTV 용도","위도","경도","CCTV 수량","수정 일시"
"용산구","교지06-01(00) (원효로3가 46-1 우체국 맞은 편)","교지06-01(00) (원효로3가 46-1 우체국 맞은 편)","37.5351","126.9600","1","2022-12-01"
"용산구","교지06-01(A1) (원효로2가 90-8)","교지06-01(A1) (원효로2가 90-8)","37.5356","126.9608","1","2022-12-01"
"용산구","교지06-10(00) (원효로3가 179-1 한일카피어 맞은편)","교지06-10(00) (원효로3가 179-1 한일카피어 맞은편)","37.5341","126.9561","1","2022-12-01"
"용산구","교지06-18(00) 20-2차(산천동 193 일민유치원 정문 앞)","교지06-18(00) 20-2차(산천동 193 일민유치원 정문 앞)","37.5343","126.9494","1","2022-12-01"
"용산구","교지07-44(00) (효창원로 136 (효창동 5-102) 금양초등학교)","교지07-44(00) (효창원로 136 (효창동 5-102) 금양초등학교)","37.5400","126.9618","1","2022-12-01"
"용산구","교지07-48(00) 19-1차(효창동 97-1 효창파크 KCC스위첸)","교지07-48(00) 19-1차(효창동 97-1 효창파크 KCC스위첸)","37.5397","126.9605","1","2022-12-01"
"용산구","교지09-20(00) 20-2차(한강로2가 276-3 용산초등학교 정문 앞)","교지09-20(00) 20-2차(한강로2가 276-3 용산초등학교 정문 앞)","37.5351","126.9727","1","2022-12-01"
"용산구","교지09-21(00) (한강로3가 40-969 터미널전자상가)","교지09-21(00) (한강로3가 40-969 터미널전자상가)","37.5322","126.9624","1","2022-12-01"
"용산구","교지09-29(00) (용산동5가 24 파크타워)","교지09-29(00) (용산동5가 24 파크타워)","37.5240","126.9721","1","2022-12-01"
"용산구","교지09-43(00) (한강로3가 63-389 용산시티파크 102동 103동 사이 미니스탑 앞)","교지09-43(00) (한강로3가 63-389 용산시티파크 102동 103동 사이 미니스탑 앞)","37.5254","126.9688","1","2022-12-01"
"용산구","교지09-46(00) (한강로3가 65-8 용산공고 뒷길)","교지09-46(00) (한강로3가 65-8 용산공고 뒷길)","37.5243","126.9659","1","2022-12-01"
"용산구","교지09-47(00) (한강로3가 40-571 여천식당 옆)","교지09-47(00) (한강로3가 40-571 여천식당 옆)","37.5246","126.9600","1","2022-12-01"
"용산구","교지09-51(00) 20-2차(한강로2가 422 용산역 앞)","교지09-51(00) 20-2차(한강로2가 422 용산역 앞)","37.5288","126.9658","1","2022-12-01"
"용산구","교지09-53(00) (한강로2가 2-292 용산베르디움프렌즈아파트 101동 앞)","교지09-53(00) (한강로2가 2-292 용산베르디움프렌즈아파트 101동 앞)","37.5359","126.9712","1","2022-12-01"
"용산구","교지09-54(00) (한강로2가 2-299 용산베르디움프렌즈아파트 102동 앞)","교지09-54(00) (한강로2가 2-299 용산베르디움프렌즈아파트 102동 앞)","37.5353","126.9709","1","2022-12-01"
"용산구","교지09-62(00) (한강로2가 15-14 선인상가 22동 15번출구)","교지09-62(00) (한강로2가 15-14 선인상가 22동 15번출구)","37.5327","126.9667","1","2022-12-01"
"용산구","교지09-63(00) (한강로2가 424 아모레퍼시픽 주차장 출입구  )","교지09-63(00) (한강로2가 424 아모레퍼시픽 주차장 출입구  )","37.5281","126.9687","1","2022-12-01"
"용산구","교지10-13(00) 20-2차(이촌동 409 충신유치원 앞)","교지10-13(00) 20-2차(이촌동 409 충신유치원 앞)","37.5212","126.9729","1","2022-12-01"
"용산구","교지10-25(00) (이촌동 302-44 LG한강자이)","교지10-25(00) (이촌동 302-44 LG한강자이)","37.5202","126.9703","1","2022-12-01"
"용산구","교지10-33(00) (이촌동 301-75 신용산초교 정문 앞)","교지10-33(00) (이촌동 301-75 신용산초교 정문 앞)","37.5195","126.9751","1","2022-12-01"
"용산구","교지10-34(00) (이촌동 300-301 삼익상가 앞)","교지10-34(00) (이촌동 300-301 삼익상가 앞)","37.5189","126.9768","1","2022-12-01"
"용산구","교지10-35(00) (이촌동 301-195 강촌아파트 103동 앞)","교지10-35(00) (이촌동 301-195 강촌아파트 103동 앞)","37.5186","126.9783","1","2022-12-01"
"용산구","교지10-41(00) (이촌동 302-64 동부센트레빌)","교지10-41(00) (이촌동 302-64 동부센트레빌)","37.5205","126.9673","1","2022-12-01"
"용산구","교지10-45(00) (이촌동 301-78(이촌로65가길 91) 용강중학교)","교지10-45(00) (이촌동 301-78(이촌로65가길 91) 용강중학교)","37.5209","126.9754","1","2022-12-01"
"용산구","교지10-47(00) (이촌로 303 현대아파트 21동 한국약국 앞)","교지10-47(00) (이촌로 303 현대아파트 21동 한국약국 앞)","37.5179","126.9812","1","2022-12-01"
"용산구","교지10-48(00) (이촌동 301-170 동작대교 하부 반도APT 출입구)","교지10-48(00) (이촌동 301-170 동작대교 하부 반도APT 출입구)","37.5169","126.9829","1","2022-12-01"
"용산구","교지10-50(00) (이촌동 302-51 국민은행 앞)","교지10-50(00) (이촌동 302-51 국민은행 앞)","37.5211","126.9696","1","2022-12-01"
"용산구","교지11-11(00) (이촌동 193-3 동아그린아파트 입구)","교지11-11(00) (이촌동 193-3 동아그린아파트 입구)","37.5240","126.9591","1","2022-12-01"
"용산구","교지12-08(00) (이태원1동 140-2 보광초교 입구)","교지12-08(00) (이태원1동 140-2 보광초교 입구)","37.5330","126.9956","1","2022-12-01"
"용산구","교지12-09(00) (이태원1동 130-42 해롯앤틱갤러리)","교지12-09(00) (이태원1동 130-42 해롯앤틱갤러리)","37.5333","126.9942","1","2022-12-01"
"용산구","교지12-16(00) (이태원1동 119-11 이태원 노스비치)","교지12-16(00) (이태원1동 119-11 이태원 노스비치)","37.5346","126.9931","1","2022-12-01"
